epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
73,1990.68,0.9239,0.68933,0.99345,0.85384,0.008812,0.008812,0.008812
74,2013.38,0.92647,0.68807,0.99359,0.85174,0.0087955,0.0087955,0.0087955
75,2036.14,0.92471,0.68877,0.99359,0.85177,0.008779,0.008779,0.008779
76,2058.94,0.93069,0.68807,0.99387,0.85233,0.0087625,0.0087625,0.0087625
77,2081.91,0.91834,0.68821,0.99359,0.8528,0.008746,0.008746,0.008746
78,2104.85,0.91891,0.68891,0.99387,0.85205,0.0087295,0.0087295,0.0087295
79,2127.43,0.9239,0.6903,0.99387,0.85106,0.008713,0.008713,0.008713
80,2149.88,0.914,0.68975,0.99359,0.85055,0.0086965,0.0086965,0.0086965
81,2172.66,0.92386,0.68905,0.99373,0.84877,0.00868,0.00868,0.00868
82,2195.62,0.91942,0.68933,0.99359,0.84787,0.0086635,0.0086635,0.0086635
83,2218.88,0.91924,0.68891,0.99345,0.8485,0.008647,0.008647,0.008647
84,2241.42,0.91644,0.68933,0.99345,0.84716,0.0086305,0.0086305,0.0086305
85,2264.54,0.9138,0.68933,0.99387,0.84787,0.008614,0.008614,0.008614
86,2287.37,0.90927,0.68989,0.99415,0.84733,0.0085975,0.0085975,0.0085975
87,2309.86,0.91555,0.68919,0.99401,0.84693,0.008581,0.008581,0.008581
88,2332.54,0.91013,0.68877,0.99415,0.84502,0.0085645,0.0085645,0.0085645
89,2355.5,0.90585,0.69058,0.99415,0.84554,0.008548,0.008548,0.008548
90,2378.12,0.90811,0.68933,0.99387,0.84586,0.0085315,0.0085315,0.0085315
91,2400.57,0.90956,0.68891,0.99415,0.84449,0.008515,0.008515,0.008515
92,2423.59,0.9067,0.68947,0.99387,0.84494,0.0084985,0.0084985,0.0084985
93,2446.46,0.90302,0.69058,0.99415,0.8425,0.008482,0.008482,0.008482
94,2470.19,0.90049,0.68891,0.99415,0.84347,0.0084655,0.0084655,0.0084655
95,2492.95,0.89617,0.68961,0.99401,0.84323,0.008449,0.008449,0.008449
96,2515.63,0.90102,0.68961,0.99387,0.84246,0.0084325,0.0084325,0.0084325
97,2538.36,0.8972,0.68919,0.99387,0.84252,0.008416,0.008416,0.008416
98,2561.34,0.906,0.68877,0.99359,0.84273,0.0083995,0.0083995,0.0083995
99,2583.88,0.89636,0.68961,0.99373,0.84226,0.008383,0.008383,0.008383
100,2606.52,0.89105,0.68947,0.99415,0.8418,0.0083665,0.0083665,0.0083665
101,2629.34,0.89373,0.69086,0.99387,0.83996,0.00835,0.00835,0.00835
102,2651.97,0.89313,0.6917,0.99401,0.84147,0.0083335,0.0083335,0.0083335
103,2674.78,0.89038,0.69225,0.99415,0.83954,0.008317,0.008317,0.008317
104,2698.07,0.89607,0.69239,0.99415,0.83968,0.0083005,0.0083005,0.0083005
105,2720.87,0.88812,0.69323,0.99415,0.83973,0.008284,0.008284,0.008284
106,2743.4,0.88583,0.69295,0.99387,0.83993,0.0082675,0.0082675,0.0082675
107,2765.72,0.89134,0.69323,0.99401,0.84064,0.008251,0.008251,0.008251
108,2789.04,0.89107,0.69532,0.99373,0.84096,0.0082345,0.0082345,0.0082345
109,2812.27,0.89274,0.69448,0.99373,0.83933,0.008218,0.008218,0.008218
110,2835.02,0.88241,0.69379,0.99387,0.83889,0.0082015,0.0082015,0.0082015
111,2858.23,0.88752,0.69365,0.99401,0.83886,0.008185,0.008185,0.008185
112,2880.42,0.88514,0.69365,0.99401,0.83844,0.0081685,0.0081685,0.0081685
113,2905.7,0.88209,0.69379,0.99401,0.83948,0.008152,0.008152,0.008152
114,2941.83,0.8778,0.69309,0.99401,0.8395,0.0081355,0.0081355,0.0081355
115,2976.86,0.87949,0.69365,0.99401,0.8384,0.008119,0.008119,0.008119
116,3011.9,0.88264,0.69267,0.99429,0.83992,0.0081025,0.0081025,0.0081025
117,3047.54,0.87688,0.69211,0.99401,0.83939,0.008086,0.008086,0.008086
118,3082.59,0.8749,0.69309,0.99401,0.83847,0.0080695,0.0080695,0.0080695
119,3118.26,0.87772,0.69476,0.99429,0.83833,0.008053,0.008053,0.008053
120,3152.82,0.8747,0.69476,0.99415,0.83838,0.0080365,0.0080365,0.0080365
121,3187.72,0.87245,0.69393,0.99415,0.83833,0.00802,0.00802,0.00802
122,3222.49,0.87373,0.69407,0.99401,0.8389,0.0080035,0.0080035,0.0080035
123,3248.66,0.87467,0.69379,0.99429,0.83863,0.007987,0.007987,0.007987
124,3271.56,0.86707,0.69365,0.99457,0.83777,0.0079705,0.0079705,0.0079705
125,3294.38,0.87067,0.69211,0.99457,0.83795,0.007954,0.007954,0.007954
126,3317.27,0.87295,0.69253,0.99443,0.83689,0.0079375,0.0079375,0.0079375
127,3340.2,0.87748,0.69211,0.99443,0.83769,0.007921,0.007921,0.007921
128,3363.03,0.86852,0.6917,0.99415,0.83779,0.0079045,0.0079045,0.0079045
129,3385.91,0.8638,0.69281,0.99443,0.83683,0.007888,0.007888,0.007888
130,3408.78,0.86598,0.69309,0.99429,0.83765,0.0078715,0.0078715,0.0078715
131,3431.92,0.8658,0.69267,0.99415,0.83753,0.007855,0.007855,0.007855
132,3454.78,0.85791,0.69253,0.99429,0.83627,0.0078385,0.0078385,0.0078385
133,3480.13,0.86328,0.69351,0.99471,0.83593,0.007822,0.007822,0.007822
134,3506.84,0.85635,0.69309,0.99485,0.83668,0.0078055,0.0078055,0.0078055
135,3530.73,0.862,0.69295,0.99498,0.83545,0.007789,0.007789,0.007789
136,3554.07,0.86106,0.69393,0.99498,0.83624,0.0077725,0.0077725,0.0077725
137,3577.02,0.85613,0.69379,0.99512,0.83546,0.007756,0.007756,0.007756
138,3599.67,0.85832,0.69393,0.99498,0.83609,0.0077395,0.0077395,0.0077395
139,3622.74,0.85091,0.69309,0.99498,0.83544,0.007723,0.007723,0.007723
140,3646.2,0.85749,0.69351,0.99498,0.8357,0.0077065,0.0077065,0.0077065
141,3668.86,0.84683,0.69267,0.99498,0.83486,0.00769,0.00769,0.00769
142,3691.24,0.85488,0.69211,0.99498,0.83521,0.0076735,0.0076735,0.0076735
143,3713.3,0.8562,0.69072,0.99512,0.83427,0.007657,0.007657,0.007657
144,3735.74,0.84807,0.69128,0.99498,0.83446,0.0076405,0.0076405,0.0076405
145,3758.13,0.84965,0.69128,0.99498,0.83459,0.007624,0.007624,0.007624
146,3781.4,0.85065,0.69086,0.99485,0.8341,0.0076075,0.0076075,0.0076075
147,3809.8,0.84492,0.69072,0.99498,0.83359,0.007591,0.007591,0.007591
148,3837.55,0.84794,0.69072,0.99498,0.83428,0.0075745,0.0075745,0.0075745
149,3866.09,0.8432,0.69128,0.99498,0.83519,0.007558,0.007558,0.007558
150,3895.17,0.83991,0.69128,0.99498,0.83469,0.0075415,0.0075415,0.0075415
151,3923.62,0.84479,0.69128,0.99498,0.83563,0.007525,0.007525,0.007525
152,3952.23,0.84068,0.69239,0.99498,0.83316,0.0075085,0.0075085,0.0075085
153,3981.25,0.83953,0.69281,0.99457,0.83423,0.007492,0.007492,0.007492
154,4009.53,0.84185,0.69309,0.99471,0.83438,0.0074755,0.0074755,0.0074755
155,4037.57,0.83679,0.69267,0.99471,0.83348,0.007459,0.007459,0.007459
156,4065.92,0.83433,0.69239,0.99498,0.83295,0.0074425,0.0074425,0.0074425
157,4094.42,0.83556,0.69365,0.99512,0.83319,0.007426,0.007426,0.007426
158,4121.61,0.83366,0.69379,0.99485,0.83321,0.0074095,0.0074095,0.0074095
159,4149.41,0.82916,0.6942,0.99485,0.83336,0.007393,0.007393,0.007393
160,4177.84,0.83049,0.6942,0.99485,0.83269,0.0073765,0.0073765,0.0073765
161,4207.03,0.83137,0.69434,0.99485,0.83249,0.00736,0.00736,0.00736
162,4235.05,0.82423,0.69448,0.99485,0.83413,0.0073435,0.0073435,0.0073435
163,4262.8,0.83367,0.69462,0.99485,0.83411,0.007327,0.007327,0.007327
164,4291.16,0.82904,0.69448,0.99485,0.83384,0.0073105,0.0073105,0.0073105
165,4318.31,0.83482,0.69448,0.99498,0.8341,0.007294,0.007294,0.007294
166,4344.43,0.82367,0.69476,0.99512,0.83329,0.0072775,0.0072775,0.0072775
167,4367.37,0.8271,0.6956,0.99498,0.83317,0.007261,0.007261,0.007261
168,4390.35,0.82452,0.6949,0.99512,0.83423,0.0072445,0.0072445,0.0072445
169,4413.02,0.82417,0.69434,0.99498,0.83389,0.007228,0.007228,0.007228
170,4436.07,0.82021,0.6956,0.99498,0.83412,0.0072115,0.0072115,0.0072115
171,4458.93,0.82432,0.69504,0.99485,0.83376,0.007195,0.007195,0.007195
172,4481.55,0.82497,0.69532,0.99498,0.83412,0.0071785,0.0071785,0.0071785
173,4504.55,0.82705,0.69629,0.99485,0.83396,0.007162,0.007162,0.007162
174,4527.37,0.81747,0.69671,0.99485,0.83311,0.0071455,0.0071455,0.0071455
175,4550.31,0.82048,0.6956,0.99485,0.83388,0.007129,0.007129,0.007129
176,4573.25,0.8179,0.69546,0.99512,0.83361,0.0071125,0.0071125,0.0071125
177,4596.51,0.81705,0.69518,0.99485,0.83303,0.007096,0.007096,0.007096
178,4619.12,0.81205,0.69518,0.99485,0.83488,0.0070795,0.0070795,0.0070795
179,4642.11,0.81443,0.69546,0.99512,0.83431,0.007063,0.007063,0.007063
180,4666.56,0.81804,0.69629,0.99498,0.83378,0.0070465,0.0070465,0.0070465
181,4696.29,0.81628,0.69602,0.99471,0.83393,0.00703,0.00703,0.00703
182,4727.13,0.81063,0.69588,0.99457,0.83363,0.0070135,0.0070135,0.0070135
183,4761.85,0.81373,0.69602,0.99443,0.83489,0.006997,0.006997,0.006997
184,4793.33,0.81186,0.69602,0.99457,0.83387,0.0069805,0.0069805,0.0069805
185,4820.48,0.80222,0.69699,0.99429,0.83519,0.006964,0.006964,0.006964
186,4848.2,0.80785,0.69783,0.99429,0.83447,0.0069475,0.0069475,0.0069475
187,4875.61,0.8009,0.69755,0.99443,0.83444,0.006931,0.006931,0.006931
188,4904.7,0.8059,0.69713,0.99443,0.83433,0.0069145,0.0069145,0.0069145
