epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,2763.75,0.29805,0.75606,1,0.70328,0.000964687,0.000964687,0.000964687
77,2792.87,0.30226,0.75676,1,0.7062,0.00095355,0.00095355,0.00095355
78,2821.58,0.29436,0.75787,1,0.71418,0.000942413,0.000942413,0.000942413
79,2850.49,0.29697,0.75787,1,0.70882,0.000931275,0.000931275,0.000931275
80,2879.08,0.28108,0.75829,1,0.71886,0.000920137,0.000920137,0.000920137
81,2907.95,0.27851,0.75815,1,0.71717,0.000909,0.000909,0.000909
82,2936.71,0.27925,0.75829,1,0.72075,0.000897863,0.000897863,0.000897863
83,2971.05,0.27582,0.75899,1,0.72774,0.000886725,0.000886725,0.000886725
84,3008.49,0.27852,0.75899,1,0.73147,0.000875587,0.000875587,0.000875587
85,3045.56,0.28062,0.75913,1,0.73001,0.00086445,0.00086445,0.00086445
86,3082.48,0.2664,0.7601,1,0.73781,0.000853313,0.000853313,0.000853313
87,3119.44,0.268,0.7601,1,0.73755,0.000842175,0.000842175,0.000842175
88,3157.4,0.25707,0.76038,1,0.7461,0.000831038,0.000831038,0.000831038
89,3194.95,0.26269,0.76066,1,0.75118,0.0008199,0.0008199,0.0008199
90,3232.35,0.25614,0.75968,1,0.75662,0.000808762,0.000808762,0.000808762
91,3264.57,0.25754,0.75954,1,0.76101,0.000797625,0.000797625,0.000797625
92,3302.37,0.25629,0.75926,1,0.76047,0.000786488,0.000786488,0.000786488
93,3335.79,0.24669,0.75926,1,0.76355,0.00077535,0.00077535,0.00077535
94,3364.54,0.24886,0.75899,1,0.76976,0.000764212,0.000764212,0.000764212
95,3399.31,0.24406,0.75926,1,0.77404,0.000753075,0.000753075,0.000753075
96,3437.36,0.2474,0.75899,1,0.78649,0.000741937,0.000741937,0.000741937
97,3474.74,0.24351,0.75926,1,0.79053,0.0007308,0.0007308,0.0007308
98,3512.32,0.23999,0.7594,1,0.79053,0.000719663,0.000719663,0.000719663
99,3549.13,0.23212,0.75982,1,0.79722,0.000708525,0.000708525,0.000708525
100,3582.33,0.23807,0.75954,1,0.79931,0.000697388,0.000697388,0.000697388
101,3611.21,0.23043,0.75996,1,0.80903,0.00068625,0.00068625,0.00068625
102,3639.61,0.23465,0.75968,1,0.81221,0.000675113,0.000675113,0.000675113
103,3668.3,0.22694,0.75913,1,0.82212,0.000663975,0.000663975,0.000663975
104,3697.13,0.22749,0.75968,1,0.82268,0.000652837,0.000652837,0.000652837
105,3731.41,0.22086,0.76024,1,0.82716,0.0006417,0.0006417,0.0006417
106,3768.68,0.22284,0.7608,1,0.83275,0.000630563,0.000630563,0.000630563
107,3805.78,0.22103,0.76024,1,0.84256,0.000619425,0.000619425,0.000619425
108,3843.22,0.22075,0.75954,1,0.84183,0.000608288,0.000608288,0.000608288
109,3873.84,0.21491,0.75871,1,0.84577,0.00059715,0.00059715,0.00059715
110,3902.53,0.21383,0.75899,1,0.85108,0.000586012,0.000586012,0.000586012
111,3931.71,0.2113,0.75787,1,0.85651,0.000574875,0.000574875,0.000574875
112,3960.33,0.21071,0.75773,1,0.868,0.000563737,0.000563737,0.000563737
113,3988.6,0.20584,0.75829,1,0.87655,0.0005526,0.0005526,0.0005526
114,4016.85,0.20148,0.75759,1,0.87243,0.000541462,0.000541462,0.000541462
115,4045.35,0.20503,0.7569,1,0.88278,0.000530325,0.000530325,0.000530325
116,4074.16,0.20446,0.75606,1,0.89339,0.000519188,0.000519188,0.000519188
117,4103.44,0.20128,0.75662,1,0.89197,0.00050805,0.00050805,0.00050805
118,4138.94,0.19765,0.75717,1,0.90055,0.000496913,0.000496913,0.000496913
119,4175.97,0.20349,0.75662,1,0.90372,0.000485775,0.000485775,0.000485775
120,4213.29,0.19175,0.7562,1,0.90803,0.000474637,0.000474637,0.000474637
121,4250.47,0.18616,0.75592,1,0.9155,0.0004635,0.0004635,0.0004635
122,4287.58,0.19223,0.75522,1,0.91885,0.000452362,0.000452362,0.000452362
123,4328.21,0.18749,0.75481,1,0.93073,0.000441225,0.000441225,0.000441225
124,4364.43,0.19058,0.75536,1,0.94693,0.000430087,0.000430087,0.000430087
125,4402.41,0.18483,0.7555,1,0.94332,0.00041895,0.00041895,0.00041895
126,4439.59,0.18626,0.75536,1,0.94398,0.000407812,0.000407812,0.000407812
127,4479.25,0.18378,0.75508,1,0.95518,0.000396675,0.000396675,0.000396675
128,4520.55,0.17936,0.75564,1,0.96899,0.000385538,0.000385538,0.000385538
129,4560.52,0.18078,0.75536,1,0.96664,0.0003744,0.0003744,0.0003744
130,4601.32,0.17696,0.75467,1,0.96806,0.000363262,0.000363262,0.000363262
131,4639.49,0.17873,0.75495,1,0.98175,0.000352125,0.000352125,0.000352125
132,4676.07,0.17851,0.75481,1,0.9888,0.000340988,0.000340988,0.000340988
133,4713.69,0.1757,0.7555,1,0.98498,0.00032985,0.00032985,0.00032985
134,4750.57,0.17153,0.75536,1,0.99052,0.000318712,0.000318712,0.000318712
135,4789.63,0.1683,0.7555,1,0.99678,0.000307575,0.000307575,0.000307575
136,4829.55,0.16844,0.75564,1,0.99998,0.000296438,0.000296438,0.000296438
137,4865.18,0.1623,0.75495,1,1.00318,0.0002853,0.0002853,0.0002853
138,4892.96,0.16454,0.7555,1,1.01444,0.000274163,0.000274163,0.000274163
139,4920.37,0.16436,0.75467,1,1.01795,0.000263025,0.000263025,0.000263025
140,4948.86,0.15956,0.75481,1,1.02215,0.000251887,0.000251887,0.000251887
141,4975.73,0.1619,0.75481,1,1.02622,0.00024075,0.00024075,0.00024075
